name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000001,0.423988223,997,8,1150,153
echinus,000001,0.480224341,1408,974,1581,1080
echinus,000001,0.498857975,935,1009,1084,1080
echinus,000001,0.61930877,734,980,840,1079
echinus,000001,0.667408228,1613,130,1752,244
echinus,000001,0.718048334,531,468,652,596
holothurian,000001,0.750974119,382,685,556,794
echinus,000001,0.76226294,558,72,709,235
echinus,000001,0.778936505,1200,959,1340,1071
echinus,000001,0.809098423,921,480,1050,614
echinus,000001,0.859471917,339,485,483,635
echinus,000002,0.295987278,1286,908,1518,1080
echinus,000002,0.516183853,1330,492,1499,677
holothurian,000002,0.776579082,496,336,705,589
echinus,000002,0.777163327,82,365,317,530
echinus,000002,0.785342276,1155,682,1367,905
starfish,000002,0.785708964,881,981,1058,1080
echinus,000002,0.824848354,572,513,747,683
echinus,000002,0.826230288,1040,918,1284,1080
echinus,000002,0.851648211,382,183,595,374
echinus,000003,0.661452413,1714,759,1799,818
holothurian,000003,0.868682027,582,733,987,1033
holothurian,000003,0.899677038,634,578,1039,805
echinus,000004,0.352834851,1060,766,1163,886
echinus,000004,0.743758559,822,813,934,928
holothurian,000004,0.840277493,802,219,985,338
starfish,000004,0.863868892,222,272,397,434
echinus,000005,0.775074065,835,409,940,592
echinus,000005,0.80895102,642,811,812,976
echinus,000005,0.842363536,998,292,1157,417
echinus,000005,0.855692744,730,675,873,822
holothurian,000005,0.86081636,56,67,261,317
starfish,000006,0.305372208,387,246,460,311
echinus,000006,0.711336017,978,659,1085,776
echinus,000006,0.837028921,1454,848,1726,1078
holothurian,000006,0.863525033,718,280,881,409
holothurian,000007,0.293022811,678,358,908,470
echinus,000007,0.306542754,1101,341,1175,445
starfish,000007,0.743576705,1056,372,1118,477
holothurian,000007,0.810148478,1524,338,1676,423
echinus,000007,0.836576164,919,945,1053,1080
holothurian,000008,0.283172816,281,5,401,170
holothurian,000008,0.40543294,1126,740,1229,1041
starfish,000008,0.734927893,942,4,1068,113
holothurian,000008,0.80108881,50,376,181,643
holothurian,000008,0.85201633,1078,202,1308,448
starfish,000008,0.864803493,1500,307,1818,545
starfish,000008,0.903817117,334,498,593,688
echinus,000009,0.41682294,1694,446,1896,673
starfish,000009,0.886044085,531,551,743,793
holothurian,000010,0.809900939,1094,487,1251,719
holothurian,000010,0.872232139,872,695,1215,885
holothurian,000011,0.258045375,1568,727,1694,795
holothurian,000011,0.585334182,482,24,593,128
holothurian,000011,0.675432503,1144,648,1308,719
starfish,000011,0.912824631,617,686,833,888
scallop,000012,0.26515922,949,29,1006,67
holothurian,000012,0.887559354,986,631,1229,867
holothurian,000013,0.384856641,810,696,1203,857
holothurian,000013,0.813734353,523,178,853,429
holothurian,000014,0.349973828,1039,780,1304,1080
holothurian,000014,0.623799384,28,298,237,1016
holothurian,000014,0.657794356,774,668,1012,975
echinus,000014,0.674803376,1319,458,1583,654
starfish,000014,0.922591329,988,387,1349,782
echinus,000015,0.384003907,1079,943,1199,1059
echinus,000015,0.574681282,1806,611,1920,767
scallop,000015,0.591481149,166,513,328,639
echinus,000015,0.607003808,835,757,950,927
scallop,000015,0.608621597,0,830,106,1001
echinus,000015,0.696508884,1800,363,1917,597
starfish,000015,0.807397485,575,687,773,912
echinus,000015,0.856049597,1349,482,1604,794
echinus,000015,0.874886751,1231,816,1484,1080
holothurian,000016,0.744603753,1002,559,1163,814
starfish,000016,0.849776685,941,171,1114,285
holothurian,000017,0.772069097,884,632,1223,822
holothurian,000017,0.864986479,1103,421,1265,661
holothurian,000018,0.332953453,416,578,551,682
holothurian,000018,0.879493773,1110,641,1415,888
holothurian,000019,0.251019627,791,708,1079,850
holothurian,000019,0.603354335,1118,453,1460,634
echinus,000020,0.29296726,1821,703,1904,773
echinus,000020,0.458463997,2014,805,2085,865
echinus,000020,0.480576843,2176,709,2246,773
echinus,000020,0.493488371,1855,704,1918,766
echinus,000020,0.600973785,1975,794,2068,862
echinus,000020,0.602558196,1791,705,1861,771
echinus,000020,0.726770997,1136,776,1223,854
echinus,000020,0.7428509,1715,669,1793,742
echinus,000020,0.750743687,1977,644,2080,741
echinus,000020,0.767999828,2275,870,2371,958
scallop,000021,0.250988305,1035,1377,1117,1453
scallop,000021,0.304679781,1033,498,1093,543
scallop,000021,0.320389509,1518,1392,1602,1456
scallop,000021,0.333815932,1255,229,1329,298
scallop,000021,0.347679228,1287,278,1354,334
scallop,000021,0.472300142,1688,1392,1764,1452
scallop,000021,0.522764921,1840,835,1914,901
scallop,000021,0.530038655,467,961,512,1006
scallop,000021,0.557085276,1085,462,1139,520
scallop,000021,0.577487469,1227,344,1294,409
scallop,000021,0.581006706,1108,325,1175,381
scallop,000021,0.582128167,1623,297,1706,375
scallop,000021,0.585777879,965,1100,1075,1235
scallop,000021,0.602190614,860,1180,942,1248
scallop,000021,0.612143099,734,945,805,1016
scallop,000021,0.652503073,1421,912,1497,974
starfish,000021,0.665852904,1794,1353,1921,1487
scallop,000021,0.755521715,1605,1482,1701,1536
scallop,000021,0.756749749,978,428,1058,523
scallop,000021,0.766684234,1593,777,1669,850
scallop,000021,0.776068926,1651,924,1725,988
scallop,000021,0.777663231,1628,860,1713,936
scallop,000021,0.780919611,1155,1335,1220,1405
scallop,000021,0.794239879,1073,1263,1148,1331
scallop,000021,0.816475272,1301,1365,1391,1450
scallop,000021,0.8175506,1710,974,1811,1073
scallop,000021,0.819325149,1562,466,1636,541
starfish,000021,0.824194789,1866,1252,1982,1376
scallop,000021,0.847335219,1904,869,1992,959
scallop,000021,0.851823568,1233,1295,1312,1370
scallop,000021,0.855874658,1548,1097,1626,1185
scallop,000022,0.282223821,953,1453,995,1487
scallop,000022,0.288735449,1717,1306,1773,1371
scallop,000022,0.318715781,1276,429,1342,484
starfish,000022,0.352742046,1966,237,2047,318
scallop,000022,0.363538623,1788,1290,1876,1373
scallop,000022,0.398858428,1694,1394,1763,1451
